label,message,cleaned_text,processed_text,message_length,word_count,char_count,avg_word_length,special_char_count,digit_count,uppercase_count,uppercase_ratio,digit_ratio,special_char_ratio,has_url,has_email,has_phone,has_currency,urgency_count,financial_count,action_count,threat_count,excessive_caps,excessive_punctuation,label_encoded
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a NUMBER week free membership in our £ NUMBER NUMBER prize jackpot txt the word claim to no NUMBER tc URL lccltd pobox NUMBER ldnw NUMBER a NUMBER rw NUMBER,urgent number week free membership number number prize jackpot txt word claim number url lccltd pobox number ldnw number number number,155,26,155,5.0,8,20,40,0.25806451612903225,0.12903225806451613,0.05161290322580645,1,0,0,1,1,2,1,0,0,0,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,37,196,4.324324324324325,4,0,3,0.015306122448979591,0.0,0.02040816326530612,0,0,0,0,0,1,0,0,0,0,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,date sunday,35,8,35,3.5,2,0,26,0.7428571428571429,0.0,0.05714285714285714,0,0,0,0,0,0,0,0,1,0,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here URL URL nqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt messag click url url nqjkgighjjgcbl,149,19,149,6.894736842105263,11,0,23,0.15436241610738255,0.0,0.0738255033557047,1,0,0,0,0,1,1,0,0,0,1
ham,Oh k...i'm watching here:),oh kim watching here,kim watch,26,4,26,5.75,6,0,1,0.038461538461538464,0.0,0.23076923076923078,0,0,0,0,0,0,0,0,0,1,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how NUMBER spell his name yes i did he v naughty make until i v wet,rememb number spell name ye naughti make wet,81,19,81,3.3157894736842106,5,1,3,0.037037037037037035,0.012345679012345678,0.06172839506172839,0,0,0,0,0,0,0,0,0,0,0
ham,Fine if thats the way u feel. Thats the way its gota b,fine if thats the way u feel thats the way its gota b,fine that way feel that way gota,56,13,56,3.3846153846153846,1,0,2,0.03571428571428571,0.0,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goalsteam news txt ur national team to NUMBER eg england to NUMBER trywales scotland NUMBER txtú NUMBER NUMBER poboxox NUMBER w NUMBER wq NUMBER,england macedonia dont miss goalsteam news txt nation team number england number trywal scotland number txtú number number poboxox number number number,155,24,155,5.5,8,23,32,0.2064516129032258,0.14838709677419354,0.05161290322580645,0,0,0,0,0,0,0,0,0,0,1
ham,Is that seriously how you spell his name?,is that seriously how you spell his name,serious spell name,41,8,41,4.25,1,0,1,0.024390243902439025,0.0,0.024390243902439025,0,0,0,0,0,0,0,0,0,0,0
ham,I‘m going to try for 2 months ha ha only joking,i‘m going to try for NUMBER months ha ha only joking,go tri number month joke,47,11,47,3.3636363636363638,0,1,1,0.02127659574468085,0.02127659574468085,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,So ü pay first lar... Then when is da stock comin...,so ü pay first lar then when is da stock comin,pay first lar stock comin,52,11,52,3.8181818181818183,6,0,2,0.038461538461538464,0.0,0.11538461538461539,0,0,0,0,0,1,0,0,0,0,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard NUMBER smth lor u finish ur lunch already,aft finish lunch str lor ard number smth lor finish lunch alreadi,88,20,88,3.45,3,1,3,0.03409090909090909,0.011363636363636364,0.03409090909090909,0,0,0,0,0,0,0,0,0,0,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,ffffffffff alright way meet sooner,57,11,57,4.2727272727272725,2,0,3,0.05263157894736842,0.0,0.03508771929824561,0,0,0,0,0,0,0,0,0,0,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,144,28,144,4.178571428571429,7,0,8,0.05555555555555555,0.0,0.04861111111111111,0,0,0,0,1,0,0,0,0,0,0
ham,Lol your always so convincing.,lol your always so convincing,lol alway convinc,30,5,30,5.2,1,0,1,0.03333333333333333,0.0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,catch bu fri egg make tea eat mom left dinner feel love,134,32,134,3.21875,6,0,6,0.04477611940298507,0.0,0.04477611940298507,0,0,0,0,0,0,0,0,0,0,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp were packing the car now ill let you know if theres room,back amp pack car ill let know there room,75,15,75,4.066666666666666,7,0,2,0.02666666666666667,0.0,0.09333333333333334,0,0,0,0,1,0,0,0,0,0,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,ahhh work vagu rememb feel like lol,64,12,64,4.416666666666667,4,0,5,0.078125,0.0,0.0625,0,0,0,0,0,0,0,0,0,0,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,wait that still clear sure sarcast that doesnt want live,130,26,130,4.038461538461538,4,0,1,0.007692307692307693,0.0,0.03076923076923077,0,0,0,0,0,0,0,0,0,0,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at NUMBER and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till NUMBER but we wont go there not doing too badly cheers you,yeah got number apologet fallen actin like spoilt child got caught till number wont badli cheer,189,41,189,3.6097560975609757,7,2,5,0.026455026455026454,0.010582010582010581,0.037037037037037035,0,0,0,0,0,1,0,0,0,0,0
ham,K tell me anything about you.,k tell me anything about you,tell anyth,29,6,29,4.0,1,0,1,0.034482758620689655,0.0,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,fear faint housework quick cuppa,84,17,84,4.0,1,0,2,0.023809523809523808,0.0,0.011904761904761904,0,0,0,0,1,0,0,0,0,0,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged £ NUMBER month please confirm by replying yes or no if you reply no you will not be charged,thank subscript rington mobil charg number month pleas confirm repli ye repli charg,158,29,158,4.482758620689655,2,1,13,0.08227848101265822,0.006329113924050633,0.012658227848101266,0,0,0,1,0,0,2,0,0,0,1
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ü again xuhui going to learn on NUMBER nd may too but her lesson is at NUMBER am,yup home look time msg xuhui go learn number may lesson number,122,28,122,3.392857142857143,6,2,3,0.02459016393442623,0.01639344262295082,0.04918032786885246,0,0,0,0,0,0,0,0,0,0,0
ham,"Oops, I'll let you know when my roommate's done",oops ill let you know when my roommates done,oop ill let know roommat done,47,9,47,4.333333333333333,3,0,2,0.0425531914893617,0.0,0.06382978723404255,0,0,0,0,1,0,0,0,0,0,0
ham,I see the letter B on my car,i see the letter b on my car,see letter car,28,8,28,2.625,0,0,2,0.07142857142857142,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,Anything lor... U decide...,anything lor u decide,anyth lor decid,27,4,27,6.0,6,0,2,0.07407407407407407,0.0,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,hello how saturday text see youd decid anyth tomo tri invit anyth,155,30,155,4.2,7,0,4,0.025806451612903226,0.0,0.04516129032258064,0,0,0,0,0,0,0,0,0,0,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,pl ahead watt want sure great weekend abiola,82,17,82,3.8823529411764706,3,0,4,0.04878048780487805,0.0,0.036585365853658534,0,0,0,0,0,0,0,0,0,0,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,forget tell want need crave love sweet arabian steed mmmmmm yummi,142,34,142,3.2058823529411766,15,0,10,0.07042253521126761,0.0,0.1056338028169014,0,0,0,0,0,0,0,0,0,0,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,PHONE rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now PHONE for delivery tomorrow,phone rodger burn msg tri call repli sm free nokia mobil free camcord pleas call phone deliveri tomorrow,172,33,172,4.242424242424242,5,22,7,0.040697674418604654,0.12790697674418605,0.029069767441860465,0,0,1,0,1,0,2,0,0,0,1
ham,WHO ARE YOU SEEING?,who are you seeing,see,19,4,19,4.0,1,0,15,0.7894736842105263,0.0,0.05263157894736842,0,0,0,0,0,0,0,0,1,0,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am ltgt inches,great hope like man well endow ltgt inch,72,13,72,4.461538461538462,10,0,3,0.041666666666666664,0.0,0.1388888888888889,0,0,0,0,0,0,0,0,0,0,0
ham,No calls..messages..missed calls,no callsmessagesmissed calls,callsmessagesmiss call,32,3,32,10.0,4,0,1,0.03125,0.0,0.125,0,0,0,0,0,0,1,0,0,0,0
ham,Didn't you get hep b immunisation in nigeria.,didnt you get hep b immunisation in nigeria,didnt get hep immunis nigeria,45,8,45,4.75,2,0,1,0.022222222222222223,0.0,0.044444444444444446,0,0,0,0,0,0,0,0,0,0,0
ham,"Fair enough, anything going on?",fair enough anything going on,fair enough anyth go,31,5,31,5.4,2,0,1,0.03225806451612903,0.0,0.06451612903225806,0,0,0,0,0,0,0,0,0,0,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler cant do it i could maybe ask around a bit,yeah hope tyler cant could mayb ask around bit,67,14,67,3.857142857142857,2,0,2,0.029850746268656716,0.0,0.029850746268656716,0,0,0,0,0,0,0,0,0,0,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,dont know stubborn didnt even want hospit kept tell mark weak sucker hospit weak sucker,148,30,148,3.966666666666667,7,0,7,0.0472972972972973,0.0,0.0472972972972973,0,0,0,0,1,0,0,0,0,0,0
ham,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me in class,think first time saw class,58,12,58,3.9166666666666665,2,0,2,0.034482758620689655,0.0,0.034482758620689655,0,0,0,0,0,1,0,0,0,0,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,124,23,124,4.3478260869565215,11,0,1,0.008064516129032258,0.0,0.08870967741935484,0,0,0,0,0,0,0,0,0,0,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,fyi ride earli tomorrow morn he crash place tonight,80,16,80,4.0625,1,0,1,0.0125,0.0,0.0125,0,0,0,0,0,0,0,0,0,0,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri didnt dont give sorri offer sorri room embarass,289,55,289,4.2727272727272725,14,0,7,0.02422145328719723,0.0,0.04844290657439446,0,0,0,0,0,0,0,0,0,0,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sm sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120,22,120,4.5,5,0,24,0.2,0.0,0.041666666666666664,0,0,0,0,0,0,1,0,0,0,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lturlgt,know mallika sherawat yesterday find lturlgt,76,13,76,4.846153846153846,6,0,7,0.09210526315789473,0.0,0.07894736842105263,0,0,0,0,1,0,0,0,0,0,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats NUMBER year special cinema pass for NUMBER is yours call PHONE now c suprman v matrix NUMBER starwars NUMBER etc all NUMBER free bx NUMBER ip NUMBER NUMBER we NUMBER pm dont miss out,congrat number year special cinema pass number call phone suprman matrix number starwar number etc number free number number number number dont miss,161,27,161,4.962962962962963,12,24,12,0.07453416149068323,0.14906832298136646,0.07453416149068323,0,0,1,0,1,0,1,0,0,0,1
ham,"Sorry, I'll call later in meeting.",sorry ill call later in meeting,sorri ill call later meet,34,6,34,4.833333333333333,3,0,2,0.058823529411764705,0.0,0.08823529411764706,0,0,0,0,0,0,1,0,0,0,0
ham,Tell where you reached,tell where you reached,tell reach,22,4,22,4.75,0,0,1,0.045454545454545456,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,Yes..gauti and sehwag out of odi series.,yesgauti and sehwag out of odi series,yesgauti sehwag odi seri,40,7,40,4.857142857142857,3,0,1,0.025,0.0,0.075,0,0,0,0,0,0,0,0,0,0,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a NUMBER burger for yourself on your way home i cant even move pain is killing me,gon pick number burger way home cant even move pain kill,108,23,108,3.739130434782609,5,1,3,0.027777777777777776,0.009259259259259259,0.046296296296296294,0,0,0,1,0,0,0,0,0,0,0
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls are situation seekers,good joke girl situat seeker,48,9,48,4.444444444444445,2,0,2,0.041666666666666664,0.0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0
ham,Its a part of checking IQ,its a part of checking iq,part check,25,6,25,3.3333333333333335,0,0,3,0.12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok if i come by now,sorri roommat took forev come,56,12,56,3.75,2,0,2,0.03571428571428571,0.0,0.03571428571428571,0,0,0,0,1,0,0,0,0,0,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,lar doubl check wif hair dresser alreadi said wun cut short said cut look nice,110,24,110,3.625,2,0,2,0.01818181818181818,0.0,0.01818181818181818,0,0,0,0,0,0,0,0,0,0,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a £ NUMBER bonus prize call PHONE,valu custom pleas advis follow recent review mob award number bonu prize call phone,152,28,152,4.464285714285714,3,15,6,0.039473684210526314,0.09868421052631579,0.019736842105263157,0,0,1,1,0,1,1,0,0,0,1
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,today song dedic day song dedic send valuabl frnd first rpli,122,23,122,4.3478260869565215,8,0,3,0.02459016393442623,0.0,0.06557377049180328,0,0,0,0,1,1,0,0,0,0,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded a complimentary trip to eurodisinc trav acoentry NUMBER or £ NUMBER to claim txt dis to NUMBER NUMBER NUMBER £ NUMBER NUMBER morefrmmob shracomorsglsuplt NUMBER ls NUMBER NUMBER aj,urgent award complimentari trip eurodisinc trav acoentri number number claim txt di number number number number number morefrmmob shracomorsglsuplt number number number,159,22,159,6.2727272727272725,10,21,24,0.1509433962264151,0.1320754716981132,0.06289308176100629,0,0,0,1,1,0,1,0,0,0,1
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",did you hear about the new divorce barbie it comes with all of kens stuff,hear new divorc barbi come ken stuff,78,15,78,4.266666666666667,5,0,5,0.0641025641025641,0.0,0.0641025641025641,0,0,0,0,0,0,0,0,0,0,1
ham,I plane to give on this month end.,i plane to give on this month end,plane give month end,34,8,34,3.375,1,0,1,0.029411764705882353,0.0,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0
ham,Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee,wah lucki man save money hee,46,8,46,4.875,9,0,3,0.06521739130434782,0.0,0.1956521739130435,0,0,0,0,0,1,0,0,0,1,0
ham,Finished class where are you.,finished class where are you,finish class,29,5,29,5.0,1,0,1,0.034482758620689655,0.0,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something xx,babe home wan someth,45,10,45,3.6,1,0,35,0.7777777777777778,0.0,0.022222222222222223,0,0,0,0,1,0,0,0,1,0,0
ham,K..k:)where are you?how did you performed?,kkwhere are youhow did you performed,kkwhere youhow perform,42,6,42,6.166666666666667,6,0,1,0.023809523809523808,0.0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
ham,U can call me now...,u can call me now,call,20,5,20,3.2,3,0,1,0.05,0.0,0.15,0,0,0,0,1,0,1,0,0,0,0
ham,I am waiting machan. Call me once you free.,i am waiting machan call me once you free,wait machan call free,43,9,43,3.888888888888889,2,0,2,0.046511627906976744,0.0,0.046511627906976744,0,0,0,0,0,0,1,0,0,0,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i am a gentleman and will treat you with dignity and respect,that cool gentleman treat digniti respect,73,14,73,4.285714285714286,2,0,1,0.0136986301369863,0.0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0
ham,I like you peoples very much:) but am very shy pa.,i like you peoples very much but am very shy pa,like peopl much shi,50,11,50,3.6363636363636362,3,0,1,0.02,0.0,0.06,0,0,0,0,0,0,0,0,0,0,0
ham,Does not operate after  &lt;#&gt;  or what,does not operate after ltgt or what,oper ltgt,42,7,42,4.857142857142857,5,0,1,0.023809523809523808,0.0,0.11904761904761904,0,0,0,0,0,0,0,0,0,0,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,its not the same here still looking for a job how much do tas earn there,still look job much ta earn,76,16,76,3.8125,4,0,4,0.05263157894736842,0.0,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0
ham,"Sorry, I'll call later",sorry ill call later,sorri ill call later,22,4,22,4.75,2,0,2,0.09090909090909091,0.0,0.09090909090909091,0,0,0,0,0,0,1,0,0,0,0
ham,K. Did you call me just now ah? ,k did you call me just now ah,call,32,8,32,3.0,2,0,2,0.0625,0.0,0.0625,0,0,0,0,1,0,1,0,0,0,0
ham,Ok i am on the way to home hi hi,ok i am on the way to home hi hi,way home,32,10,32,2.3,0,0,1,0.03125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,You will be in the place of that man,you will be in the place of that man,place man,36,9,36,3.111111111111111,0,0,1,0.027777777777777776,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ham,Yup next stop.,yup next stop,yup next stop,14,3,14,4.0,1,0,1,0.07142857142857142,0.0,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
ham,"I call you later, don't have network. If urgnt, sms me.",i call you later dont have network if urgnt sms me,call later dont network urgnt sm,55,11,55,4.090909090909091,5,0,2,0.03636363636363636,0.0,0.09090909090909091,0,0,0,0,0,0,1,0,0,0,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u getting on yo i only need NUMBER more tickets and one more jacket and im done i already used all my multis,real get need number ticket one jacket done alreadi use multi,121,26,121,3.6923076923076925,4,1,4,0.03305785123966942,0.008264462809917356,0.03305785123966942,0,0,0,0,0,0,0,0,0,0,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,ye start send request make pain came back back bed doubl coin factori got cash nitro,144,31,144,3.6774193548387095,4,0,5,0.034722222222222224,0.0,0.027777777777777776,0,0,0,0,0,1,0,0,0,0,0
ham,I'm really not up to it still tonight babe,im really not up to it still tonight babe,realli still tonight babe,42,9,42,3.7777777777777777,1,0,1,0.023809523809523808,0.0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free,ela kanoil download come wen free,41,7,41,5.0,5,0,1,0.024390243902439025,0.0,0.12195121951219512,0,0,0,0,0,0,1,0,0,0,0
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do don‘t stand to close tho you‘ll catch something,yeah stand close tho catch someth,58,10,58,4.9,3,0,2,0.034482758620689655,0.0,0.05172413793103448,0,0,0,0,0,0,0,0,0,0,0
